Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
"Senior Data Scientist , Advanced Analytics",$123K - $199K (Glassdoor est.),"Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:
Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):
Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.
166749
Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Missiles & Defense
3.8","Andover, MA",-1,10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,123,199,161.0,"Raytheon Missiles & Defense
", MA,0,0,1,0,0,1,0
Data Scientist 2,$52K - $95K (Glassdoor est.),"Description
Digital Health and Analytics within Humana is dedicated to transform members’ health experience and Humana’s services using technology and analytics. We are looking for a Data Scientist 2 who will design studies and utilize cutting-edge predictive modeling techniques, test rigorous hypotheses, and turn data and insights into actionable plans. Being part of talented team of data scientists with broad skills and applications, the Data Scientist will work cross-functionally and collaboratively with teams across the enterprise through innovative R&D, machine learning, and cutting-edge platforms. The scope of our work includes forecasting, predictive modeling, designing business experiments, and ROI studies. The ideal candidate will have hands-on experience on healthcare data, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.
Responsibilities
The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.
Responsibilities
Develop and validate statistical forecasting models or predictive models and tools
Research and evaluate innovative analytical methodologies, approaches, and solutions
Collaborate with analytic and data teams to set objectives, approaches, and work plans
Interprets and communicates analytic results to analytical and non-analytical business partners
Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas
Make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed

Required Qualifications
Master's Degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
2+ years of experience in advanced data analytics
Demonstrated experience with SAS, SQL, MATLAB, DataRobot, Python or similar statistical and scripting tools
Experience developing and validating statistical forecasting models or predictive models
Experience interpreting and communicating analytic results to analytical and non-analytical business partners
Naturally curious and comfortable with ambiguity and demonstrate critical thinking
Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to non-technical business insights
Strong interpersonal and consulting skills
Preferred Qualifications
PhD in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
Healthcare or managed care experience
Experience building large-scale predictive models
Experience in Big Data environment specifically PySpark and/or Databricks
Experience in deep learning, natural language processing, and recommendation systems
Additional Information
This position is based on either Humana’s headquarters in Louisville-KY or Humana’s Studio-H in Boston-MA.
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Louisville, KY",-1,10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,52,95,73.5,"Humana
", KY,0,59,1,0,1,0,0
Process Scientist,$39K - $89K (Glassdoor est.),"Position Summary
CTK is seeking a highly motivated, team-oriented, Process Scientist to lead large scale cell culture process development for production of antibody and other recombinant proteins. Activities will include clone selection, shake flask and bioreactor manipulation, process optimization, characterization studies, manufacturing and technology transfer.
Essential Duties and Responsibilities
Generate stable expression cell lines in mammalian cells such as HEK293 and CHO, maintain master cell bank and working cell bank
Develop cost effective systems and processes using various vessels such as shake flasks, Wave bags and benchtop bioreactor for the large-scale production of monoclonal antibodies and other recombinant proteins
Develop SOPs and training protocols to transfer large scale process to production department
Analyze data, keep meticulous records and maintain notebooks in accordance with Quality System and company policy
Perform other laboratory activities such as equipment maintenance, and troubleshooting as needed
Additional duties may be assigned
Education and/or Experience
B.S. or M.S. or Ph.D. in Biochemistry, Molecular Biology or related discipline.
3+ years of experience with mammalian cell culture, antibody and protein expression, purification and characterization
Must have 1+ year experience with Wave Bioreactor or Benchtop Bioreactor
Required Knowledge Skills and Abilities
Strong background in mammalian cell culture and protein production
Excellent organizational skills, able to multi-task
Excellent oral and written communication skills
Must be a team player
Ability to adapt to changing priorities and thrive in a fast-paced environment
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to Commute/Relocate:
Poway, CA 92064 (Required)
Education:
Bachelor's (Required)
Experience:
Wave Bioreactor or Benchtop Bioreactor: 1 year (Required)
relevant: 3 years (Required)
Work Remotely:
No",3.6,"CTK Biotech
3.6","Poway, CA",-1,1 to 50 Employees,1998,Company - Private,Health Care Products Manufacturing,Manufacturing,$25 to $50 million (USD),-1,0,0,39,89,64.0,"CTK Biotech
", CA,0,22,0,0,0,0,1
Senior Data Engineer,$67K - $127K (Glassdoor est.),"Join our team dedicated to developing and executing innovative solutions in support of customer mission success.
Job Description:
Novetta has an immediate need for a Senior Data Engineer to join a fast-paced program in support of a government customer with a very critical national security mission. This is a multi-year program, where the successful candidate will work on an interdisciplinary project team of more than 30 highly qualified individuals with a wide array of skills that include client (reactjs), server (spring java), QA Automation Engineers, UI/UX Designers, and DevOps engineers. The team is responsible for building a next generation Mission Information System and is performing greenfield Software Development using modern technologies via an Agile DevOps approach.

This Senior Data Engineer will play a vital role collaborating as part of this cross-functional Agile team to create and enhance data ingestion pipelines and address big data challenges. The Senior Data Engineer will work closely with the Chief Architect, systems engineers, software engineers, and data scientists on the following key tasks:
Provide Extraction, Transformation, and Load (ETL) experience coupled with enterprise search capabilities to solve Big Data challenges
Design and implement high-volume data ingestion and streaming pipelines using Open Source frameworks like Apache Spark, Flink, Nifi, and Kafka on AWS Cloud
Leverage strategic and analytical skills to understand and solve customer and business centric questions
Create prototypes and proofs of concept for iterative development
Learn new technologies and apply the knowledge in production systems
Monitor and troubleshoot performance issues on the enterprise data pipelines and the data lake
Partner with various teams to define and execute data acquisition, transformation, processing and make data actionable for operational and analytics initiatives
Required Qualifications / Experience:
BS in Computer Science, Systems Engineering, or a related technical field or equivalent experience with at least 8+ years in systems engineering or administration (6+ years with a MS/MIS Degree).
Must have an active Top Secret security clearance and able to obtain a TS/SCI with Polygraph.
3 years of experience with big data tools: Hadoop, Spark, Kafka, NiFi.
3 years of experience with object-oriented/object function scripting languages: Python (preferred) and/or Java.
3 years of experience with and managing data across relational SQL and NoSQL databases like MySQL, Postgres, Cassandra, HDFS, Redis, and Elasticsearch.
3 years of experience working in a Linux environment.
2 years of experience working with and designing REST APIs.
Experience in designing/developing platform components like caching, messaging, event processing, automation, transformation and tooling frameworks.
Experience developing data ingest workflows with stream-processing systems: Spark-Streaming, Kafka Streams and/or Flink.
Experience transforming data in various formats, including JSON, XML, CSV, and zipped files.
Experience with performance tuning of ETL jobs.
Experience developing flexible ontologies to fit data from multiple sources and implementing the ontology in the form of database mappings / schemas.
Strong interpersonal and communication skills necessary to work effectively with customers and other team members.

Preferred Qualifications / Experience:
Data engineering experience in the Intelligence Community or other government agencies.
Experience with Microservices architecture components, including Docker and Kubernetes.
Experience developing microservices to fit data cleansing, transformation and enrichment needs.
Experience with AWS cloud services: EC2, S3, EMR, RDS, Redshift, Athena and/or Glue.
Experience with Jira, Confluence and extensive experience with Agile methodologies.
Knowledge about security and best practices.
Experience developing flexible data ingest and enrichment pipelines, to easily accommodate new and existing data sources.
Experience with software configuration management tools such as Git/Gitlab, Salt, Confluence, etc.
Experience with continuous integration and deployment (CI/CD) pipelines and their enabling tools such as Jenkins, Nexus, etc.
Detailed oriented/self-motivated with the ability to learn and deploy new technology quickly.
Clearance Level: TS/SCI with Poly

Novetta, from complexity to clarity.
Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.

Our culture is shaped by a commitment to our core values:
Integrity • We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Success • We strive daily to exceed expectations and achieve customer mission success.
Employee Focus • We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.
Innovation • We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.
Excellence in Execution • We take pride in flawless execution as we build a company that is best in class.

Earn a REFERRAL BONUS for the qualified people you know.
For more details or to submit a referral, visit bit.ly/NovettaReferrals.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",4.6,"Novetta
4.6","Reston, VA",-1,501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,67,127,97.0,"Novetta
", VA,0,8,1,0,1,1,1
Data Scientist,$69K - $113K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.
Expected Qualifications:
Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2+ years’ experience and solid understanding of machine learning techniques. Academic and internship experience may also be considered.
2+ years' experience of combined industry/academic experience with predictive modeling, and advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.
Benefits:
As a Data Scientist, you’ll enjoy our GEICO Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:
Premier Medical, Dental and Vision Insurance with no waiting period**
Paid Vacation, Sick and Parental Leave
401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
EEO Statement:
The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.
#LI-JW1",3.5,"GEICO
3.5","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,69,113,91.0,"GEICO
", MD,0,84,1,0,1,1,1
Spark/Big Data Engineer,$52K - $101K (Glassdoor est.),"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
At least two years of experience with SQL and Java or Scala
Experience with manipulating and transforming data
Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)
Strong critical thinking, decision making, and problem-solving skills
Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
Bachelor’s degree in a computer related field or equivalent professional experience required
Preferred Qualifications:
Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggers
Experience with Spark core and Spark SQL
Experience as a Big Data Developer
Exposure to Data Mining, Data Engineering and Data Modeling
Exposure to Graph Databases
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.
Benefits:
As Spark/Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:
Premier Medical, Dental and Vision Insurance with no waiting period**
Paid Vacation, Sick and Parental Leave
401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.
#LI-MW1",3.5,"GEICO
3.5","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,52,101,76.5,"GEICO
", MD,0,84,0,0,1,0,1
Lead Data Scientist,$94K - $155K (Glassdoor est.),"Description
The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Lead Data Scientist works on problems of diverse scope and complexity ranging from moderate to substantial.
Responsibilities
The Lead Data Scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Advises executives to develop functional strategies (often segment specific) on matters of significance. Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, Uses independent judgment requiring analysis of variable factors and determining the best course of action.
Work closely with AI Implementation Lead to understand the key business feedback and implement in models when necessary
Ability to work within other workstreams in an overflow capacity

Required Qualifications
PhD + 2 years’ experience, Master’s Degree + 4 years’ experience OR Bachelor’s Degree + 6 years’ experience.
Data Analytics, Computer Science or related quantitative program.
2+ years’ experience in project, process or people leadership
Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
Successful demonstrated experience in working on problems of diverse scope and complexity ranging from moderate to substantial
Experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting
Experience in creating reports, projections, models, and presentations to support business
Ability to exercise independent judgment and decision making on complex issues regarding job duties and related tasks
Ability to works under minimal supervision, using independent judgment
Must be passionate about contributing to an organization focused on continuously improving consumer experiences
Preferred Qualifications
PhD
Additional Information
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Boston, MA",-1,10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,94,155,124.5,"Humana
", MA,0,59,0,0,0,0,0
Senior Big Data Engineer,$62K - $117K (Glassdoor est.),"The Data Ingestion team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Sr. Big Data Developer for the Big Data Platform project. This will be a senior role and this associate will team up with architects, scrum masters, leads, managers, and directors, you will work in an Agile environment to ingest data from various sources and make the data on the Big Data Platform accessible for the needs of the organization through atomic models and analytical data Stores.
In this role, you will coordinate with a variety of IT departments to elicit and translate high-level business requirements into detailed system design. You will participate in the entire software development lifecycle which includes requirements, design, development, and executing test plans. In addition, you will work on finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude, and enjoy learning new tools and techniques.
Qualifications:
2+ year experience in Azure using Azure Data Lake Store, Azure Event Hubs or Azure Synapse
2+ years of experience working with Java based applications, open source technologies and SQL.
1+ year of experience with RabbitMQ, Kafka or other messaging technologies
1+ year of experience in Kubernetes
1+ years of experience with ETL Development
1+ year of Production Support and operationalization of Applications
Experience with manipulating and transforming data
Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)
Experience with Change Data Capture (CDC) technologies and relational databases such as MS SQL, Oracle and DB2
Experience with mentoring software developers
Strong critical thinking, decision making, and problem-solving skills
Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
Bachelor’s degree in a computer related field or equivalent professional experience required
You can also check out our jobs on LinkedIn, 195128L.
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.
Benefits:
As a full-time Senior Big Data Engineer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:
Premier Medical, Dental and Vision Insurance with no waiting period**
Paid Vacation, Sick and Parental Leave
401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensure
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.
The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.",3.5,"GEICO
3.5","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,62,117,89.5,"GEICO
", MD,0,84,0,0,1,0,1
Epitaxy Scientist,$36K - $88K (Glassdoor est.),"Responsibilities
Develop, optimize and characterize III-nitride LED epi structures
Improve epi material quality and LED performance
Analyze growth and characterization data and correlate to device performance
Lead epi development projects to improve epi and chip yield
Summarize R&D results and prepare reports
Transfer new developments to production
Make recommendations for new/improved characterization techniques to solve material and device issues
Make suggestions for MOCVD hardware improvements
Other duties as assigned
Minimum Requirements
PhD/MS in Material Science, Electrical Engineering or other related science or engineering discipline
PhD with 2+ years or MS with 5+ years of hands-on experience with MOCVD nitride epitaxy and material characterization techniques (XRD, AFM, SEM, TEM, PL, etc.)
Strong background in semiconductor material science and epitaxial growth
US Citizen or Permanent Resident
Skill Requirements
Strong self initiative and motivation
Must be organized, detailed, and thorough
Excellent written and oral communication skills
Ability to summarize data and prepare reports
EEO Statement
Sensor Electronic Technology, Inc. is an equal opportunity employer. All applicants will be provided equal consideration without regard to race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status in accordance with applicable federal, state and local laws.
Job Type: Full-time
Schedule:
Monday to Friday
Company's website:
SETi
Company's Facebook page:
SETi
Work Remotely:
No",3.1,"Sensor Electronic Technology, Inc
3.1","Columbia, SC",-1,1 to 50 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1,0,0,36,88,62.0,"Sensor Electronic Technology, Inc
", SC,0,-1,0,0,0,1,1
"Scientist I/II, Purification Process Sciences",$64K - $126K (Glassdoor est.),"Do you have a passion for Science? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? Then AstraZeneca might be the one for you!
At AstraZeneca, we put patients first and strive to meet their unmet needs worldwide. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality. If you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then you’re our kind of person.
About AstraZeneca in Gaithersburg, MD:
Our Gaithersburg, Maryland facility creates life-changing medicines for people around the world. This campus employs more than 3,500 experts in our field and is only a short drive from Washington, DC. This modern and vibrant scientific campus is the home of R&D and Oncology in the US. Here, we play host to some of the most cutting-edge technology and lab spaces, all designed to inspire collaboration and cross-functional science. We believe employees benefit from being challenged and inspired at work. We are dedicated to creating a culture of inclusion and collaboration.
The Gaithersburg site offers a variety of amenities to help boost productivity and help keep our employees happy and healthy. This includes a fitness center, employee healthcare clinic, electric vehicle charging stations, dry cleaning, full-service cafeteria and copy center. This is where you’ll find newly-designed, activity-based work spaces to suit a variety of working styles while increasing collaboration between teams.
Summary of the group:
In Purification Process Sciences in Gaithersburg, MD you’ll play a pivotal role in channeling our scientific capabilities to make a positive impact on changing patients’ lives. We’re constantly pushing the boundaries of science to deliver life-changing medicines to patients, with a passion for discovery and a pipeline to show for it. We’re pioneering innovative research and exploring novel pathways across key therapeutic areas including oncology, respiratory, inflammation and autoimmunity, cardiovascular and metabolic disease, and infection and vaccines. And we’re industry-leading in immunology, protein engineering and translational science. We offer a unique and strong collaborative network as part of the AstraZeneca family, as together we explore synergies between small and large molecules.
Main Duties & Responsibilities:
The position resides in the Critical Pipeline Reagent Sciences Group (CPRS) contained within the Purification Process Sciences R&D department. Members of the CPRS function work closely with the research scientists and process development scientists to generate pipeline supporting molecules. Position may require weekend work and/or periodic late-nights. Main duties are as follows:
Generation of biopharmaceutical reagents to advance the R&D AstraZeneca pipeline
Designing and performing purifications for complex biopharmaceutical drugs such as antibodies, bispecific antibodies, fusion proteins, DuetMabs, pDNA, and viruses
Designing and performing conjugations of candidate drugs and anti-IDs to support PK/PD studies
Coordinating production of toxicology and PK/PD materials
Purifying Non-GLP toxicology lots
Managing the purification pilot laboratory
Solving challenging protein purification problems
Providing technical expertise in pipeline reagent preparation at bench and pilot scales
Initiates technology development projects to increase purification efficiency
Coordinating closely with the research department, cell culture group, and analytical biotechnology group in order to meet project timelines and company goals
Analyzing and interpreting analytical and process data
Maintain accurate records of data and actively participate in laboratory organization
Professionally deliver results to internal and external audiences
Advising junior lab personnel on purification strategies
Providing feedback on developability of molecules to the R&D organization
Supervision: A high level of independence is required for this position. The job is complex, requiring an understanding of the biological and chemical properties of recombinant proteins, process design, and data analyses
Relevant Education & Experience Requirements:
BS/BA or MS/MA or PhD in biology, biochemistry, chemical/biochemical engineering, or related field
Scientist I: BS and 10+ years of relevant experience, MS and 8+ years of relevant experience, PhD and some relevant experience preferred
Scientist II: BS and 13+ years of relevant experience, MS and 10+ years of relevant experience, PhD and 3+ years of relevant experience
Required Skills:
Experience in biotherapeutic reagent preparation and purification process development
Experience developing chromatographic purification processes for monoclonal antibodies, bispecific antibodies, fusion proteins, and conjugated proteins
Experience solving challenging protein purification problems such as aggregate removal, endotoxin removal, conjugation, self-association, and glycoform separation
Expertise in protein chromatography and tangential flow filtration
Expertise with the AKTA platform and Unicorn software
Desired Skills:
Experience performing analytical testing
GLP/GMP experience desirable
Familiarity with tech transfer to pilot and commercial manufacturing
Troubleshoot and collaboratively resolve complex problems under tight time constraints
Outstanding oral and written communication skills
Team player and customer focused",4.2,"AstraZeneca
4.2","Gaithersburg, MD",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,64,126,95.0,"AstraZeneca
", MD,0,107,0,0,0,0,0
